Vowel, Recording#, F1, F2
e,51,251.6951,470.5643
e,52,299.9336,1315.162
e,53,220.3599,552.7256
e,54,444.8792,1856.973
e,55,389.3451,1147.076
e,56,130.0042,1792.787
e,57,386.442,1574.574
e,58,249.3451,1468.872
e,59,183.8404,1488.586
e,60,235.3926,1093.977
e,61,355.8306,568.0811
e,62,161.3489,692.3721
e,63,249.1651,1755.149
e,64,500.0981,2392.742
e,65,175.1662,558.9233
e,66,188.7536,1443.049
e,67,250.5623,534.3641
e,68,225.939,608.1499
e,69,542.0946,1753.417
e,70,122.8522,739.3796
e,71,328.2579,1769.376
e,72,499.824,937.5545
e,73,208.7561,451.1266
e,74,524.2844,2063.02
e,75,242.161,663.2097
e,76,271.9813,795.8182
e,77,700,700
e,78,196.4267,1012.885
e,79,258.4042,666.4984
e,80,258.5735,467.323
e,81,268.2932,929.1597
e,82,274.1213,1110.396
e,83,294.5191,782.6465
e,84,329.4455,1848.036
e,85,249.0053,1841.778
e,86,246.1915,1846.648
e,87,313.9414,1815.208
e,88,474.5189,1976.961
e,89,407.42,1888.215
e,90,437.9205,811.2828
e,91,114.022,1855.898
e,92,309.1049,1875.398
e,93,415.4666,1597.43
e,94,161.722,423.7108
e,95,203.505,838.356
e,96,256.7398,1396.336
e,97,139.9215,656.5454
e,98,145.7991,1280.532
e,99,578.7819,2257.592
e,100,172.9496,2218.145
e,101,123.8654,1019.622
e,102,419.9271,1979.834
e,103,354.2944,1887.622
e,104,440.0574,1568.118
e,105,282.9814,1951.731
e,106,179.423,1656.11
e,107,326.4955,1796.527
e,108,700,700
e,109,239.3576,1410.047
e,110,219.4942,1023.987
e,111,469.3306,2047.814
e,112,441.6341,1938.091
e,113,256.875,567.6978
e,114,211.3045,939.7513
e,115,632.528,1583.501
e,116,527.0606,1760.3
e,117,619.6296,1738.853
e,118,274.7469,1998.175
e,119,334.6331,424.3676
e,120,140.9948,1078.969
e,121,475.6209,644.7028
e,122,233.7787,488.2286
e,123,546.9268,1775.525
e,124,515.5428,1184.506
e,125,574.9869,1922.982
e,126,202.1065,802.971
e,127,580.778,2199.534
e,128,283.4317,1428.001
e,129,148.7477,1523.673
e,130,142.6543,1493.63
e,131,155.8269,1155.863
e,132,168.5787,641.2069
e,133,502.4296,1731.958
e,134,191.5088,1142.26
e,135,435.2657,1741.278
e,136,414.1193,1719.09
e,137,369.2006,1959.822
e,138,142.3624,567.0063
e,139,303.4706,1217.99
e,140,152.3218,461.0539
e,141,332.9546,1870.67
e,142,190.2182,1329.027
e,143,181.6543,895.1968
e,144,212.2673,357.3707
e,145,262.6548,523.7992
e,146,700,700
e,147,284.1961,1945.753
e,148,485.2644,2273.917
e,149,436.4229,1793.153
i,0,268.1795,1921.629
i,1,279.0779,1201.407
i,2,446.0303,1399.014
i,3,344.041,921.6738
i,4,338.0109,2053.347
i,5,331.2836,2019.547
i,6,460.2536,1688.05
i,7,194.1895,456.9034
i,8,203.7382,435.3969
i,9,378.5076,1543.226
i,10,377.4068,1032.23
i,11,289.4242,505.1448
i,12,432.316,1494.939
i,13,427.1439,1765.191
i,14,258.9655,2090.719
i,15,519.5463,848.5291
i,16,528.0117,1672.797
i,17,528.1549,2652.017
i,18,355.6505,1264.123
i,19,263.4887,705.3398
i,20,283.6401,612.793
i,21,364.3391,1237.469
i,22,383.6007,1161.942
i,23,357.4206,1194.177
i,24,335.555,1165.673
i,25,182.3484,864.9858
i,26,283.7707,1182.378
i,27,290.4059,1825.673
i,28,275.213,2089.189
i,29,241.5344,1460.93
i,30,282.3577,863.2357
i,31,315.015,1597.853
i,32,196.7295,227.4927
i,33,433.8336,2437.181
i,34,281.067,1688.673
i,35,323.7547,1356.106
i,36,265.2627,1313.768
i,37,244.0843,1683.26
i,38,292.8881,336.903
i,39,195.5765,813.1185
i,40,184.5683,406.9999
i,41,172.2007,1499.226
i,42,400.2736,1726.091
i,43,209.5232,304.9614
i,44,333.2826,1708.815
i,45,174.6484,1495.482
i,46,200.5826,1773.452
i,47,228.3206,808.8654
i,48,658.6091,1171.897
i,49,253.3196,353.9989
i,50,261.3151,583.5524
i,51,169.4718,812.1978
i,52,285.7633,1470.84
i,53,225.1644,1039.633
i,54,444.3712,1800.166
i,55,307.9603,1618.938
i,56,475.9981,1925.436
i,57,228.9385,827.577
i,58,181.2521,1663.995
i,59,191.2246,1672.358
i,60,250.0298,1504.614
i,61,376.9744,1448.495
i,62,326.8026,711.6168
i,63,405.4745,1128.392
i,64,390.4376,1355.816
i,65,380.3935,1925.771
i,66,227.1895,1502.97
i,67,597.7914,1318.614
i,68,340.1168,801.4257
i,69,141.1606,1485.59
i,70,137.023,1116.225
i,71,148.4588,1454.201
i,72,338.9253,431.0414
i,73,284.2764,1241.956
i,74,423.7447,2134.786
i,75,286.8431,678.4551
i,76,337.9359,1949.491
i,77,284.0097,535.4904
i,78,200.0661,1153.267
i,79,316.6438,1303.862
i,80,155.4943,266.9679
i,81,258.7337,1400.802
i,82,256.1045,1393.171
i,83,287.5528,1127.297
i,84,293.7491,2022.326
i,85,264.0008,764.2128
i,86,295.6719,1953.716
i,87,227.2179,1317.692
i,88,341.8195,2199.853
i,89,283.8802,2336.798
i,90,200.8965,2148.74
i,91,209.679,1210.244
i,92,229.3451,685.9275
i,93,316.564,1621.392
i,94,268.8748,1407.584
i,95,209.8574,2025.707
i,96,223.076,334.287
i,97,277.997,1201.951
i,98,313.8118,1521.873
i,99,458.8541,1483.391
i,100,338.7033,2343.98
i,101,255.9772,1023.84
i,102,187.2752,2028.74
i,103,373.6088,1538.537
i,104,377.1812,1922.444
i,105,270.0856,1728.337
i,106,196.4735,720.2791
i,107,288.2486,2000.168
i,108,286.6246,869.834
i,109,198.858,486.6075
i,110,259.4851,1234.425
i,111,374.4012,2094.473
i,112,326.2485,1708.277
i,113,104.95,355.7839
i,114,399.2072,2023.626
i,115,221.0964,1040.92
i,116,301.885,773.3892
i,117,168.0178,1962.868
i,118,202.3102,1921.957
i,119,177.8903,1193.08
i,120,342.7116,2194.161
i,121,170.5672,420.8767
i,122,254.4229,629.2034
i,123,303.0201,1149.88
i,124,310.5108,1273.578
i,125,398.1148,1001.896
i,126,191.9266,1480.563
i,127,214.9137,627.283
i,128,173.4871,1107.002
i,129,1348.474,2403.625
i,130,161.8536,1765.401
i,131,97.8708,714.9111
i,132,194.624,587.5856
i,133,225.3418,1554.332
i,134,212.6939,838.6195
i,135,300.1126,2043.11
i,136,259.73,1404.66
i,137,238.8326,2336.971
i,138,372.2495,2424.742
i,139,185.2479,1207.709
i,140,171.791,1745.432
i,141,181.4186,297.4664
i,142,214.0023,1814.887
i,143,244.4712,1730.802
