-8.393707E-05,
-0.0001767115,
-0.0001208318,
-0.0001562121,
-0.0001390449,
-0.0001525936,
-0.000137032,
-0.0001373796,
-0.0001375701,
-0.000130504,
-0.0001304977,
-0.000135984,
-0.000120679,
-0.0001383936,
-0.0001278929,
-0.0001226675,
-0.0001216304,
-0.0001179602,
-0.0001159514,
-0.0001179896,
-0.0001149595,
-0.0001228473,
-0.0001032932,
-0.000126855,
-9.993466E-05,
-0.0001073424,
-0.0001035836,
-9.894829E-05,
-9.214551E-05,
-0.0001000114,
-9.06131E-05,
-8.120894E-05,
-8.254797E-05,
-7.707475E-05,
-7.584612E-05,
-8.302579E-05,
-7.379877E-05,
-6.638747E-05,
-7.754897E-05,
-5.993547E-05,
-5.164949E-05,
-6.626128E-05,
-4.609981E-05,
-4.768077E-05,
-5.026405E-05,
-4.028484E-05,
-3.808794E-05,
-2.475749E-05,
-3.04882E-05,
-1.487233E-05,
-2.187532E-05,
-1.773164E-05,
-7.900859E-06,
-7.848281E-06,
1.464876E-05,
7.089307E-06,
1.858424E-05,
2.151942E-05,
1.662036E-05,
4.028735E-05,
1.560119E-05,
4.187601E-05,
3.972433E-05,
4.521478E-05,
4.951185E-05,
4.754737E-05,
5.315172E-05,
6.136396E-05,
5.342254E-05,
7.047495E-05,
7.201036E-05,
7.976309E-05,
9.907805E-05,
7.677689E-05,
0.000123435,
0.0001075669,
0.0001233808,
0.000139445,
0.0001436686,
0.0001597219,
0.0001562472,
0.0001735552,
0.0001780499,
0.0001738264,
0.0001922867,
0.0002185194,
0.0002010017,
0.0002376486,
0.0002137306,
0.0002369796,
0.0002443736,
0.0002529136,
0.000246946,
0.0002642139,
0.0002670712,
0.0002744256,
0.0002645034,
0.0002947625,
0.0002902239,
0.0002878186,
0.0003193096,
0.0003095608,
0.000325937,
0.0003259997,
0.0003154425,
0.0003378713,
0.0003612318,
0.0003359184,
0.0003628802,
0.0003404837,
0.0003657479,
0.000372405,
0.0004025346,
0.0003897526,
0.0004156502,
0.0003881688,
0.0004117605,
0.000427099,
0.0004360858,
0.0004250116,
0.0004386749,
