1,
0.9928446,
0.9960832,
0.9917008,
0.9909845,
0.9871604,
0.9839141,
0.9798189,
0.9746391,
0.9699724,
0.9630666,
0.9575986,
0.9493029,
0.942601,
0.9335618,
0.9251402,
0.9152327,
0.9057411,
0.8948056,
0.8838172,
0.8723277,
0.8599885,
0.8474405,
0.8341784,
0.8207929,
0.8062731,
0.7920482,
0.7767848,
0.7608595,
0.7453626,
0.7285374,
0.7118062,
0.69459,
0.6765882,
0.6588665,
0.64016,
0.6211989,
0.6023618,
0.5823763,
0.5627072,
0.5425613,
0.5220415,
0.5010889,
0.4803377,
0.4586747,
0.4374388,
0.4152852,
0.3935626,
0.3708806,
