1,1100.045,2481.636,521.734,2981.254,1
2,678.0551,1140.076,656.1023,1284.955,0
3,659.6069,1142.003,661.2589,1284.726,0
4,688.4304,1121.043,649.4371,1251.658,0
5,684.3796,1151.594,653.9218,1266.476,0
6,696.4492,1153.065,653.5284,1260.908,0
7,641.3203,1164.429,657.105,1272.748,0
8,706.7594,1226.065,659.5971,1291.428,0
9,724.6132,1173.584,647.3199,1270.533,0
10,685.7559,1220.259,656.1033,1285.685,0
11,656.4253,1178.005,657.449,1283.349,0
12,664.8531,1181.887,661.9744,1297.949,0
13,613.1893,1182.813,647.1171,1288.227,0
14,664.5177,1189.668,661.9017,1299.531,0
15,653.4048,1197.523,657.3865,1284.399,0
16,636.7444,1168.957,654.6119,1285.846,0
17,669.3249,1146.199,657.9705,1288.219,0
18,708.442,1180.163,648.4907,1288.843,0
19,704.0168,1166.818,660.0082,1296.112,0
20,663.5992,1170.975,660.4329,1275.989,0
21,623.6797,1176.435,645.7092,1276.979,0
22,655.4962,1172.572,660.7639,1286.254,0
23,666.3987,1160.37,659.1715,1286.218,0
24,613.0691,1171.026,667.0386,1283.81,0
25,661.4022,1173.33,660.5789,1286.602,0
26,656.6964,1161.122,662.1318,1276.529,0
27,634.5439,1161.042,654.7634,1282.939,0
28,664.4584,1181.781,660.684,1277.119,0
29,610.0972,1212.259,657.5192,1305.419,0
30,616.0751,1171.262,657.7789,1268.271,0
31,671.3463,1166.669,656.017,1260.738,0
32,628.9627,1160.701,666.4225,1296.119,0
33,678.8148,1155.193,655.8805,1279.767,0
34,666.7984,1152.011,657.5195,1258.675,0
35,638.4077,1157.922,654.8578,1285.037,0
36,660.8591,1188.399,661.5329,1282.953,0
37,659.2537,1211.602,659.4052,1286,0
38,666.7433,1182.917,655.6599,1280.498,0
39,678.0956,1211.202,661.6291,1299.542,0
40,669.8058,1197.026,656.1828,1268.886,0
41,727.1675,1190.919,646.8462,1283.523,0
42,665.4122,1211.247,656.7767,1282.909,0
43,633.9214,1179.398,657.5498,1278.253,0
44,666.2001,1167.901,664.1522,1306.593,0
45,634.7489,1156.801,654.0437,1279.99,0
46,643.645,1181.069,657.6135,1280.252,0
47,676.6471,1139.569,655.2597,1274.362,0
48,702.1102,1154.373,646.4296,1282.408,0
49,673.6036,1174.531,654.057,1287.743,0
50,679.326,1161.065,658.597,1293.822,0
51,665.2335,1174.038,660.1271,1287.66,0
52,667.2538,1174.35,658.9869,1288.93,0
53,652.3881,1196.817,660.5709,1289.178,0
54,640.7275,1187.36,651.248,1289.595,0
55,671.8809,1167.624,658.6508,1293.572,0
56,631.6376,1195.605,640.1497,1290.591,0
57,665.8905,1199.528,659.6263,1288.109,0
58,662.1173,1213.377,662.241,1304.264,0
59,613.1837,1197.353,641.381,1294.395,0
60,668.5836,1197.322,657.4198,1286.525,0
