1,299.894,1997.891,e,475.204,1998.542
2,321.5116,2030.908,e,458.258,1992.743
3,364.1256,1940.399,e,453.8004,2002.404
4,439.4497,1881.048,e,473.8681,2008.581
5,352.2045,1990.606,e,462.5772,2005.47
6,617.0699,1686.286,a,662.0515,1361.535
7,652.9238,1641.199,a,670.035,1331.161
8,667.2428,1605.802,a,678.741,1371.548
9,710.8278,1584.163,a,677.8176,1345.465
10,694.5933,1592.268,a,674.4548,1363.13
11,677.8455,1595.277,a,664.9277,1307.574
12,714.4926,1721.827,a,681.9182,1350.721
13,717.5324,1743.839,a,714.9017,1297.521
14,554.1987,1832.086,e,444.6299,1953.534
15,490.8932,1872.858,e,464.3336,1980.57
16,464.2684,1884.063,e,467.8268,2006.833
17,465.7758,1952.042,e,468.3858,2001.753
18,437.8847,1955.797,e,475.1419,2013.763
19,410.0928,1974.623,e,508.9695,2011.266
20,448.2307,1985.652,e,477.7029,2002.727
23,269.3936,2112.003,e,543.9962,1994.443
24,211.4724,2112.919,e,460.9027,2024.416
