1,887.015,1364.061,a,650.4053,1304.019
2,913.6224,1364.235,a,611.9282,828.6647
3,928.931,1361.596,a,572.3981,1288.318
4,896.4318,1357.292,a,575.9786,1290.7
5,884.7826,1369.995,a,581.9984,1300.049
6,854.6501,1359.605,a,576.1443,1301.221
7,710.2325,1362.097,a,662.1413,1313.876
8,752.8325,1375.691,a,687.8871,1320.918
9,841.1761,1469.299,a,629.8248,1310.562
10,741.4207,1569.127,a,680.5971,1339.114
11,740.2947,862.2288,o,417.9668,884.4424
12,444.8926,836.3422,o,424.2522,830.7763
13,473.9986,729.7604,o,430.9061,859.6812
14,291.8987,711.0486,u,334.9521,691.0621
99,491.5842,1436.01,a,653.1957,1360.686
100,499.9806,1415.333,a,678.7447,1360.406
101,478.5714,594.9631,u,357.2098,571.2474
102,512.75,928.3839,o,430.4013,825.3448
103,536.8241,1065.954,o,420.1662,705.0584
104,531.0222,552.8939,u,669.8877,1052.445
105,541.9468,771.1454,o,434.3842,903.7137
106,509.0956,822.6768,o,428.6118,856.4578
107,421.6845,813.2226,o,420.08,833.4221
108,414.1769,796.612,o,422.979,830.5451
109,400.3731,805.6748,o,426.1369,842.3292
110,378.8232,618.9028,u,343.4141,720.9252
111,384.8933,649.9713,u,349.0128,695.0954
112,404.5331,696.2349,o,421.2139,834.6326
